Sublibrary,Gene_symbol,Entrez_ID
Transcription factors,ZNF121,
Transcription factors,SALL2,
Transcription factors,ZHX1,
Transcription factors,MYCL,
Transcription factors,NR2F1,
Transcription factors,TBX5,
Transcription factors,ZNF763,
Transcription factors,FOXR1,
Transcription factors,GPBP1L1,
Transcription factors,ZNF215,
Transcription factors,IRX4,
Transcription factors,IRF1,
Transcription factors,ZNF107,
Transcription factors,GRHL1,
Transcription factors,RUNX1,
Transcription factors,TSHZ2,
Transcription factors,SP5,
Transcription factors,DMRT3,
Transcription factors,DUXA,
Transcription factors,PRDM2,
Transcription factors,BHLHA15,
Transcription factors,ZNF333,
Transcription factors,NKX2-4,
Transcription factors,NR5A1,
Transcription factors,TLX2,
Transcription factors,ZNF549,
Transcription factors,SP7,
Transcription factors,ZNF470,
Transcription factors,KLF13,
Transcription factors,ZFY,
Transcription factors,ZNF324,
Transcription factors,ELK4,
Transcription factors,ZNF19,
Transcription factors,NKX3-1,
Transcription factors,HESX1,
Transcription factors,SOX17,
Transcription factors,THAP7,
Transcription factors,WIZ,
Transcription factors,CUX1,
Transcription factors,MESP2,
Transcription factors,ZNF548,
Transcription factors,ZBTB26,
Transcription factors,TBX19,
Transcription factors,ZNF264,
Transcription factors,FOXI1,
Transcription factors,ZNF417,
Transcription factors,HOXB1,
Transcription factors,LEF1,
Transcription factors,SKOR1,
Transcription factors,NPAS3,
Transcription factors,GATAD2B,
Transcription factors,MYCN,
Transcription factors,KLF12,
Transcription factors,ZNF491,
Transcription factors,ZBED9,
Transcription factors,ZNF792,
Transcription factors,GATA1,
Transcription factors,POU4F1,
Transcription factors,MNT,
Transcription factors,SMAD1,
Transcription factors,TEAD4,
Transcription factors,FOXB1,
Transcription factors,PBX3,
Transcription factors,ZNF273,
Transcription factors,ZGPAT,
Transcription factors,RXRG,
Transcription factors,POU2F3,
Transcription factors,FOXC1,
Transcription factors,VENTX,
Transcription factors,ZNF585B,
Transcription factors,ZNF181,
Transcription factors,CSRNP2,
Transcription factors,ZNF592,
Transcription factors,NPAS2,
Transcription factors,SPDEF,
Transcription factors,NR2E1,
Transcription factors,ZNF202,
Transcription factors,ZNF175,
Transcription factors,HEYL,
Transcription factors,PPARA,
Transcription factors,MEIS1,
Transcription factors,FEV,
Transcription factors,ZNF436,
Transcription factors,MEF2A,
Transcription factors,ZNF222,
Transcription factors,ZFP2,
Transcription factors,AHRR,
Transcription factors,SOHLH1,
Transcription factors,ZBTB39,
Transcription factors,ZNF398,
Transcription factors,STAT2,
Transcription factors,BATF2,
Transcription factors,ETS1,
Transcription factors,SALL3,
Transcription factors,SNAI1,
Transcription factors,DR1,
Transcription factors,ZNF33A,
Transcription factors,GRHL2,
Transcription factors,ZKSCAN2,
Transcription factors,PROX1,
Transcription factors,ZNF570,
Transcription factors,TIGD6,
Transcription factors,E2F4,
Transcription factors,ZHX3,
Transcription factors,DMRTA2,
Transcription factors,TOPORS,
Transcription factors,ZNF619,
Transcription factors,NR6A1,
Transcription factors,ZSCAN12,
Transcription factors,ZNF471,
Transcription factors,DMRT1,
Transcription factors,MBD2,
Transcription factors,FOXD2,
Transcription factors,BNC1,
