Sublibrary,Gene_symbol,Entrez_ID
Kinases/Phosphatases/Drug Targets,NOXO1,
Kinases/Phosphatases/Drug Targets,CALR,
Kinases/Phosphatases/Drug Targets,CA4,
Kinases/Phosphatases/Drug Targets,PTPN9,
Kinases/Phosphatases/Drug Targets,EFNB2,
Kinases/Phosphatases/Drug Targets,RABGGTB,
Kinases/Phosphatases/Drug Targets,SMOX,
Kinases/Phosphatases/Drug Targets,TSSK6,
Kinases/Phosphatases/Drug Targets,CHUK,
Kinases/Phosphatases/Drug Targets,IRGC,
Kinases/Phosphatases/Drug Targets,PKIA,
Kinases/Phosphatases/Drug Targets,GIT2,
Kinases/Phosphatases/Drug Targets,CASK,
Kinases/Phosphatases/Drug Targets,LDHAL6A,
Kinases/Phosphatases/Drug Targets,RETSAT,
Kinases/Phosphatases/Drug Targets,CHRNA1,
Kinases/Phosphatases/Drug Targets,GABRB1,
Kinases/Phosphatases/Drug Targets,OXCT1,
Kinases/Phosphatases/Drug Targets,MAOB,
Kinases/Phosphatases/Drug Targets,PRX,
Kinases/Phosphatases/Drug Targets,LIPA,
Kinases/Phosphatases/Drug Targets,PRKX,
Kinases/Phosphatases/Drug Targets,KCNJ6,
Kinases/Phosphatases/Drug Targets,CKM,
Kinases/Phosphatases/Drug Targets,SBK3,
Kinases/Phosphatases/Drug Targets,EPX,
Kinases/Phosphatases/Drug Targets,MMACHC,
Kinases/Phosphatases/Drug Targets,OAT,
Kinases/Phosphatases/Drug Targets,TRIB1,
Kinases/Phosphatases/Drug Targets,PDP1,
Kinases/Phosphatases/Drug Targets,PSTPIP2,
Kinases/Phosphatases/Drug Targets,MAPK11,
Kinases/Phosphatases/Drug Targets,SLC7A11,
Kinases/Phosphatases/Drug Targets,DECR1,
Kinases/Phosphatases/Drug Targets,CD33,
Kinases/Phosphatases/Drug Targets,DOLPP1,
Kinases/Phosphatases/Drug Targets,PDXP,
Kinases/Phosphatases/Drug Targets,GABRR2,
Kinases/Phosphatases/Drug Targets,VDAC2,
Kinases/Phosphatases/Drug Targets,KCND2,
Kinases/Phosphatases/Drug Targets,PPP1R8,
Kinases/Phosphatases/Drug Targets,PDE9A,
Kinases/Phosphatases/Drug Targets,PRKAB1,
Kinases/Phosphatases/Drug Targets,KCNMA1,
Mitochondria/Trafficking/Motility,MGME1,
Mitochondria/Trafficking/Motility,CYFIP2,
Mitochondria/Trafficking/Motility,UQCC2,
Mitochondria/Trafficking/Motility,MRPS17,
Mitochondria/Trafficking/Motility,ENPP7,
Mitochondria/Trafficking/Motility,RGS12,
Mitochondria/Trafficking/Motility,MYPN,
Mitochondria/Trafficking/Motility,MRC2,
Mitochondria/Trafficking/Motility,ERGIC3,
Mitochondria/Trafficking/Motility,MECR,
Mitochondria/Trafficking/Motility,DDHD1,
Mitochondria/Trafficking/Motility,RGPD2,
Mitochondria/Trafficking/Motility,PAF1,
Mitochondria/Trafficking/Motility,MRPL44,
Mitochondria/Trafficking/Motility,SLC25A11,
Mitochondria/Trafficking/Motility,QTRT1,
Mitochondria/Trafficking/Motility,COA8,
Mitochondria/Trafficking/Motility,PCP2,
Mitochondria/Trafficking/Motility,FBLIM1,
Mitochondria/Trafficking/Motility,AGTRAP,
Mitochondria/Trafficking/Motility,IFI27,
Mitochondria/Trafficking/Motility,CLCN5,
Mitochondria/Trafficking/Motility,PLA2G2F,
Mitochondria/Trafficking/Motility,TACO1,
Mitochondria/Trafficking/Motility,GNAL,
Mitochondria/Trafficking/Motility,AP3B2,
Mitochondria/Trafficking/Motility,QRSL1,
Mitochondria/Trafficking/Motility,CHPT1,
Mitochondria/Trafficking/Motility,GNG4,
Mitochondria/Trafficking/Motility,COX7A2,
Mitochondria/Trafficking/Motility,MMGT1,
Mitochondria/Trafficking/Motility,STARD5,
Mitochondria/Trafficking/Motility,C2CD5,
Mitochondria/Trafficking/Motility,CAV3,
Mitochondria/Trafficking/Motility,IFT74,
Mitochondria/Trafficking/Motility,ELMO3,
Mitochondria/Trafficking/Motility,MTX2,
Mitochondria/Trafficking/Motility,MRPL15,
Mitochondria/Trafficking/Motility,ACTR1B,
Mitochondria/Trafficking/Motility,PEX26,
Mitochondria/Trafficking/Motility,NPHP1,
Mitochondria/Trafficking/Motility,CTTNBP2,
Mitochondria/Trafficking/Motility,C8orf82,
Mitochondria/Trafficking/Motility,PARVA,
Mitochondria/Trafficking/Motility,AGPS,
Mitochondria/Trafficking/Motility,VAV2,
Mitochondria/Trafficking/Motility,ACTL8,
Mitochondria/Trafficking/Motility,FHOD1,
Mitochondria/Trafficking/Motility,BCKDHB,
Mitochondria/Trafficking/Motility,SCD,
Mitochondria/Trafficking/Motility,CHMP2B,
Mitochondria/Trafficking/Motility,PDSS2,
Mitochondria/Trafficking/Motility,GATB,
Mitochondria/Trafficking/Motility,MYO15A,
Mitochondria/Trafficking/Motility,DHX30,
Mitochondria/Trafficking/Motility,ESPN,
Mitochondria/Trafficking/Motility,KAT8,
Mitochondria/Trafficking/Motility,WIPF2,
Mitochondria/Trafficking/Motility,KMO,
Mitochondria/Trafficking/Motility,TMED4,
Mitochondria/Trafficking/Motility,PYURF,
Mitochondria/Trafficking/Motility,FRMPD2,
Mitochondria/Trafficking/Motility,SNRPE,
Mitochondria/Trafficking/Motility,SH3BP5,
Mitochondria/Trafficking/Motility,MRPS22,
Mitochondria/Trafficking/Motility,FSCN1,
Mitochondria/Trafficking/Motility,SYT5,
Mitochondria/Trafficking/Motility,EXOC2,
Mitochondria/Trafficking/Motility,RFNG,
Mitochondria/Trafficking/Motility,STX8,
Mitochondria/Trafficking/Motility,STAR,
Mitochondria/Trafficking/Motility,POTEF,
Mitochondria/Trafficking/Motility,GATC,
Mitochondria/Trafficking/Motility,TIMMDC1,
Mitochondria/Trafficking/Motility,BCKDHA,
Mitochondria/Trafficking/Motility,GIMAP8,
Mitochondria/Trafficking/Motility,PITPNM2,
Mitochondria/Trafficking/Motility,TLN2,
Mitochondria/Trafficking/Motility,HSD17B14,
Mitochondria/Trafficking/Motility,ACAD9,
Mitochondria/Trafficking/Motility,BFSP1,
Mitochondria/Trafficking/Motility,TIMM50,
Mitochondria/Trafficking/Motility,RAB41,
Mitochondria/Trafficking/Motility,MFN1,
Mitochondria/Trafficking/Motility,NRAP,
Mitochondria/Trafficking/Motility,CLIP1,
Mitochondria/Trafficking/Motility,MAN1C1,
Mitochondria/Trafficking/Motility,SYNE2,
Mitochondria/Trafficking/Motility,DSP,
Mitochondria/Trafficking/Motility,NET1,
Mitochondria/Trafficking/Motility,PLA2G4B,
Mitochondria/Trafficking/Motility,AP1G1,
Mitochondria/Trafficking/Motility,H2AZ2,
Mitochondria/Trafficking/Motility,VAMP8,
Mitochondria/Trafficking/Motility,TOMM20,
Mitochondria/Trafficking/Motility,SYNPR,
Mitochondria/Trafficking/Motility,AP4B1,
Mitochondria/Trafficking/Motility,CHCHD5,
Mitochondria/Trafficking/Motility,SELENOI,
Mitochondria/Trafficking/Motility,RAB36,
Mitochondria/Trafficking/Motility,ZADH2,
Mitochondria/Trafficking/Motility,SGCZ,
Mitochondria/Trafficking/Motility,SYT16,
Mitochondria/Trafficking/Motility,DNAI1,
Mitochondria/Trafficking/Motility,SLIRP,
Mitochondria/Trafficking/Motility,TMSB10,
Mitochondria/Trafficking/Motility,TPST2,
Mitochondria/Trafficking/Motility,C1GALT1,
Mitochondria/Trafficking/Motility,LRRC49,
Mitochondria/Trafficking/Motility,SLC27A3,
Mitochondria/Trafficking/Motility,RAB11B,
Mitochondria/Trafficking/Motility,GNGT2,
Mitochondria/Trafficking/Motility,PKP4,
Mitochondria/Trafficking/Motility,DNAI2,
Mitochondria/Trafficking/Motility,CDKAL1,
Mitochondria/Trafficking/Motility,METTL7A,
Mitochondria/Trafficking/Motility,COPE,
Mitochondria/Trafficking/Motility,ARHGAP32,
Mitochondria/Trafficking/Motility,MYL2,
Mitochondria/Trafficking/Motility,RAB33B,
Mitochondria/Trafficking/Motility,SLC35B4,
Mitochondria/Trafficking/Motility,CPNE3,
Mitochondria/Trafficking/Motility,ATP5MGL,
Mitochondria/Trafficking/Motility,EFNA5,
Mitochondria/Trafficking/Motility,ARID4A,
Mitochondria/Trafficking/Motility,DUS2,
Mitochondria/Trafficking/Motility,COQ7,
Mitochondria/Trafficking/Motility,PTCD2,
Mitochondria/Trafficking/Motility,SYTL5,
Mitochondria/Trafficking/Motility,IRGM,
Mitochondria/Trafficking/Motility,CMPK2,
Mitochondria/Trafficking/Motility,PCBP2,
Mitochondria/Trafficking/Motility,FRMD4A,
Mitochondria/Trafficking/Motility,FNBP1L,
Mitochondria/Trafficking/Motility,SLC35B1,
Mitochondria/Trafficking/Motility,VASP,
Mitochondria/Trafficking/Motility,RGPD6,
Mitochondria/Trafficking/Motility,AMPH,
Mitochondria/Trafficking/Motility,KIF19,
Mitochondria/Trafficking/Motility,IPO4,
Mitochondria/Trafficking/Motility,CLSTN2,
Mitochondria/Trafficking/Motility,SEC24C,
Mitochondria/Trafficking/Motility,LPCAT1,
Mitochondria/Trafficking/Motility,RAB11FIP1,
Mitochondria/Trafficking/Motility,JMJD7-PLA2G4B,
Mitochondria/Trafficking/Motility,OPCML,
Mitochondria/Trafficking/Motility,KIF13B,
Mitochondria/Trafficking/Motility,APBA1,
Mitochondria/Trafficking/Motility,KRT15,
Mitochondria/Trafficking/Motility,GFM1,
Mitochondria/Trafficking/Motility,COQ10B,
Mitochondria/Trafficking/Motility,B3GALT1,
Mitochondria/Trafficking/Motility,GATD3A,
Mitochondria/Trafficking/Motility,SEC13,
Mitochondria/Trafficking/Motility,MCTP1,
Mitochondria/Trafficking/Motility,TRAK1,
Mitochondria/Trafficking/Motility,ARVCF,
Mitochondria/Trafficking/Motility,ACOX3,
Mitochondria/Trafficking/Motility,SULT1A3,
Mitochondria/Trafficking/Motility,SNTG2,
Mitochondria/Trafficking/Motility,AP3D1,
Mitochondria/Trafficking/Motility,NIPSNAP3A,
Mitochondria/Trafficking/Motility,PEX14,
Mitochondria/Trafficking/Motility,RGPD1,
Mitochondria/Trafficking/Motility,PSD2,
Mitochondria/Trafficking/Motility,LSP1,
Mitochondria/Trafficking/Motility,VOPP1,
Mitochondria/Trafficking/Motility,RAB5C,
Mitochondria/Trafficking/Motility,RGPD3,
Mitochondria/Trafficking/Motility,FUZ,
Mitochondria/Trafficking/Motility,TMEM11,
Mitochondria/Trafficking/Motility,37316,
Mitochondria/Trafficking/Motility,SDF4,
Mitochondria/Trafficking/Motility,SLC38A10,
Mitochondria/Trafficking/Motility,EXOC4,
Mitochondria/Trafficking/Motility,ITGB4,
Mitochondria/Trafficking/Motility,DYNLRB2,
Mitochondria/Trafficking/Motility,CSTF3,
Mitochondria/Trafficking/Motility,FHL3,
Mitochondria/Trafficking/Motility,ARL5C,
Mitochondria/Trafficking/Motility,STX17,
Mitochondria/Trafficking/Motility,APOL2,
Mitochondria/Trafficking/Motility,CCDC93,
Mitochondria/Trafficking/Motility,TSPOAP1,
Mitochondria/Trafficking/Motility,CYP27C1,
Mitochondria/Trafficking/Motility,MRAP2,
Mitochondria/Trafficking/Motility,MTX3,
Mitochondria/Trafficking/Motility,PIGX,
Mitochondria/Trafficking/Motility,MTDH,
Mitochondria/Trafficking/Motility,SCP2,
Mitochondria/Trafficking/Motility,WDHD1,
Mitochondria/Trafficking/Motility,FDFT1,
Mitochondria/Trafficking/Motility,PCBD2,
Mitochondria/Trafficking/Motility,STX1B,
Mitochondria/Trafficking/Motility,NDUFAF3,
Mitochondria/Trafficking/Motility,SEC23IP,
Mitochondria/Trafficking/Motility,TYW1,
Mitochondria/Trafficking/Motility,SYT17,
Mitochondria/Trafficking/Motility,TPST1,
Mitochondria/Trafficking/Motility,CRLS1,
Mitochondria/Trafficking/Motility,FCF1,
Mitochondria/Trafficking/Motility,SNCB,
Mitochondria/Trafficking/Motility,SLC4A1,
Mitochondria/Trafficking/Motility,MALSU1,
Mitochondria/Trafficking/Motility,PGS1,
Mitochondria/Trafficking/Motility,PDLIM2,
Mitochondria/Trafficking/Motility,TUBG2,
Mitochondria/Trafficking/Motility,CCDC58,
Mitochondria/Trafficking/Motility,MTX1,
Mitochondria/Trafficking/Motility,PLEKHH3,
Mitochondria/Trafficking/Motility,HSD3B7,
Mitochondria/Trafficking/Motility,PSD,
Mitochondria/Trafficking/Motility,ELOVL3,
Mitochondria/Trafficking/Motility,HIP1R,
Mitochondria/Trafficking/Motility,PBXIP1,
Mitochondria/Trafficking/Motility,SEC24A,
Mitochondria/Trafficking/Motility,DPM3,
Mitochondria/Trafficking/Motility,MRPS5,
Mitochondria/Trafficking/Motility,APOBR,
Mitochondria/Trafficking/Motility,KPNA1,
Mitochondria/Trafficking/Motility,DNAH17,
Mitochondria/Trafficking/Motility,ELOVL7,
Mitochondria/Trafficking/Motility,GBA2,
Mitochondria/Trafficking/Motility,GBF1,
Mitochondria/Trafficking/Motility,SULT1A2,
Mitochondria/Trafficking/Motility,SYNJ1,
Mitochondria/Trafficking/Motility,NUP42,
Mitochondria/Trafficking/Motility,RABEP2,
Mitochondria/Trafficking/Motility,FAM162A,
Mitochondria/Trafficking/Motility,SLC50A1,
Mitochondria/Trafficking/Motility,UGT1A5,
Mitochondria/Trafficking/Motility,MSMO1,
Mitochondria/Trafficking/Motility,FMNL1,
Mitochondria/Trafficking/Motility,SARM1,
Mitochondria/Trafficking/Motility,CHD7,
Mitochondria/Trafficking/Motility,UPK3B,
Mitochondria/Trafficking/Motility,GET4,
Mitochondria/Trafficking/Motility,HEBP1,
Mitochondria/Trafficking/Motility,IQCN,
Mitochondria/Trafficking/Motility,CORO7,
Mitochondria/Trafficking/Motility,TSEN34,
Mitochondria/Trafficking/Motility,CNNM4,
Mitochondria/Trafficking/Motility,ADARB2,
Mitochondria/Trafficking/Motility,ARHGAP17,
Mitochondria/Trafficking/Motility,RDH16,
Mitochondria/Trafficking/Motility,MRPS2,
Mitochondria/Trafficking/Motility,PLGRKT,
Mitochondria/Trafficking/Motility,RIN2,
Mitochondria/Trafficking/Motility,SLC9A3,
Mitochondria/Trafficking/Motility,FMNL3,
Mitochondria/Trafficking/Motility,GIMAP5,
Mitochondria/Trafficking/Motility,SMARCC2,
Mitochondria/Trafficking/Motility,ADO,
Mitochondria/Trafficking/Motility,POGLUT2,
Mitochondria/Trafficking/Motility,PRF1,
Mitochondria/Trafficking/Motility,ACTL7B,
Mitochondria/Trafficking/Motility,SHROOM4,
Mitochondria/Trafficking/Motility,SLC25A39,
Mitochondria/Trafficking/Motility,RASSF9,
Mitochondria/Trafficking/Motility,MYO19,
Mitochondria/Trafficking/Motility,TCAIM,
Mitochondria/Trafficking/Motility,RAB4B,
Mitochondria/Trafficking/Motility,ECHDC1,
Mitochondria/Trafficking/Motility,PDE6B,
Mitochondria/Trafficking/Motility,HACD3,
Mitochondria/Trafficking/Motility,COQ3,
Mitochondria/Trafficking/Motility,AP3S2,
Mitochondria/Trafficking/Motility,RIT1,
Mitochondria/Trafficking/Motility,AFG1L,
Mitochondria/Trafficking/Motility,PNPLA4,
Mitochondria/Trafficking/Motility,TMTC1,
Mitochondria/Trafficking/Motility,NUP160,
Mitochondria/Trafficking/Motility,AZI2,
Mitochondria/Trafficking/Motility,AP3B1,
Mitochondria/Trafficking/Motility,DDX19B,
Mitochondria/Trafficking/Motility,RMDN1,
Mitochondria/Trafficking/Motility,NHP2,
Mitochondria/Trafficking/Motility,APOL5,
Mitochondria/Trafficking/Motility,ACOT11,
Mitochondria/Trafficking/Motility,PKP3,
Mitochondria/Trafficking/Motility,AP1S3,
Mitochondria/Trafficking/Motility,SVOP,
Mitochondria/Trafficking/Motility,SCAMP1,
Mitochondria/Trafficking/Motility,ELMOD1,
Mitochondria/Trafficking/Motility,RTN2,
Mitochondria/Trafficking/Motility,DHX15,
Mitochondria/Trafficking/Motility,LDHD,
Mitochondria/Trafficking/Motility,FYB1,
Mitochondria/Trafficking/Motility,WASF2,
Mitochondria/Trafficking/Motility,VPS52,
Mitochondria/Trafficking/Motility,MTHFD1L,
Mitochondria/Trafficking/Motility,HINT2,
Mitochondria/Trafficking/Motility,PEMT,
Mitochondria/Trafficking/Motility,KIF6,
Mitochondria/Trafficking/Motility,ELOVL1,
Mitochondria/Trafficking/Motility,TDRD6,
Mitochondria/Trafficking/Motility,ACTG2,
Mitochondria/Trafficking/Motility,GPAM,
Mitochondria/Trafficking/Motility,ADIPOR1,
Mitochondria/Trafficking/Motility,GPC6,
Mitochondria/Trafficking/Motility,RBMXL1,
Mitochondria/Trafficking/Motility,NRN1,
Mitochondria/Trafficking/Motility,APBB3,
Mitochondria/Trafficking/Motility,MRPL11,
Mitochondria/Trafficking/Motility,CRY2,
Mitochondria/Trafficking/Motility,NUP50,
Mitochondria/Trafficking/Motility,MRPL27,
Mitochondria/Trafficking/Motility,IQCE,
Mitochondria/Trafficking/Motility,KRT39,
Mitochondria/Trafficking/Motility,GNB1L,
Mitochondria/Trafficking/Motility,HNRNPD,
Mitochondria/Trafficking/Motility,PLEKHA3,
Mitochondria/Trafficking/Motility,CYLC2,
Mitochondria/Trafficking/Motility,RALGPS1,
Mitochondria/Trafficking/Motility,SPTBN4,
Mitochondria/Trafficking/Motility,XPO7,
Mitochondria/Trafficking/Motility,WDR66,
Mitochondria/Trafficking/Motility,SLC25A34,
Mitochondria/Trafficking/Motility,ATP10D,
Mitochondria/Trafficking/Motility,GNPAT,
Mitochondria/Trafficking/Motility,SDR42E1,
Mitochondria/Trafficking/Motility,CALB1,
Mitochondria/Trafficking/Motility,UCP2,
Mitochondria/Trafficking/Motility,LRRC24,
Mitochondria/Trafficking/Motility,MTIF3,
Mitochondria/Trafficking/Motility,CPOX,
Mitochondria/Trafficking/Motility,CHCHD2,
Mitochondria/Trafficking/Motility,SLC9B2,
Mitochondria/Trafficking/Motility,CDYL,
Mitochondria/Trafficking/Motility,MSRB2,
Mitochondria/Trafficking/Motility,TMEM186,
Mitochondria/Trafficking/Motility,SLC25A23,
Mitochondria/Trafficking/Motility,PUS1,
Mitochondria/Trafficking/Motility,PCBP3,
Mitochondria/Trafficking/Motility,KIF25,
Mitochondria/Trafficking/Motility,MRPL16,
Mitochondria/Trafficking/Motility,SLC19A1,
Mitochondria/Trafficking/Motility,KPNB1,
Mitochondria/Trafficking/Motility,CLTB,
Mitochondria/Trafficking/Motility,TNPO3,
Mitochondria/Trafficking/Motility,KIR3DL1,
Mitochondria/Trafficking/Motility,KRT10,
Mitochondria/Trafficking/Motility,RPUSD3,
Mitochondria/Trafficking/Motility,TBL1XR1,
Mitochondria/Trafficking/Motility,PPM1K,
Mitochondria/Trafficking/Motility,TOMM5,
Mitochondria/Trafficking/Motility,RCN1,
Mitochondria/Trafficking/Motility,MRPL18,
Mitochondria/Trafficking/Motility,NOC4L,
Mitochondria/Trafficking/Motility,EFHD2,
Mitochondria/Trafficking/Motility,REEP2,
Mitochondria/Trafficking/Motility,VMP1,
Mitochondria/Trafficking/Motility,CHIC1,
Mitochondria/Trafficking/Motility,DPYSL2,
Mitochondria/Trafficking/Motility,KRT4,
Mitochondria/Trafficking/Motility,GJA5,
Mitochondria/Trafficking/Motility,TMEM161A,
Mitochondria/Trafficking/Motility,NKIRAS2,
Mitochondria/Trafficking/Motility,PMM2,
Mitochondria/Trafficking/Motility,YWHAB,
Mitochondria/Trafficking/Motility,TRMT61B,
Mitochondria/Trafficking/Motility,SPRR1B,
Mitochondria/Trafficking/Motility,VPS28,
Mitochondria/Trafficking/Motility,DOCK10,
Mitochondria/Trafficking/Motility,CPNE6,
Mitochondria/Trafficking/Motility,OPA3,
Mitochondria/Trafficking/Motility,GNB4,
Mitochondria/Trafficking/Motility,TPM1,
Mitochondria/Trafficking/Motility,EPB41L5,
Mitochondria/Trafficking/Motility,ACTRT2,
Mitochondria/Trafficking/Motility,PIF1,
Mitochondria/Trafficking/Motility,ARV1,
Mitochondria/Trafficking/Motility,SMG8,
Mitochondria/Trafficking/Motility,CMC4,
Mitochondria/Trafficking/Motility,AGK,
Mitochondria/Trafficking/Motility,NLRP5,
Mitochondria/Trafficking/Motility,TM4SF1,
Mitochondria/Trafficking/Motility,CADPS2,
Mitochondria/Trafficking/Motility,PMFBP1,
Mitochondria/Trafficking/Motility,KRT2,
Mitochondria/Trafficking/Motility,SYPL1,
Mitochondria/Trafficking/Motility,NUDT4,
Mitochondria/Trafficking/Motility,NVL,
Mitochondria/Trafficking/Motility,CLTCL1,
Mitochondria/Trafficking/Motility,UTY,
Mitochondria/Trafficking/Motility,UROS,
Mitochondria/Trafficking/Motility,RHOT2,
Mitochondria/Trafficking/Motility,TTC37,
Mitochondria/Trafficking/Motility,SGCA,
Mitochondria/Trafficking/Motility,SMTN,
Mitochondria/Trafficking/Motility,VARS2,
Mitochondria/Trafficking/Motility,ITM2B,
Mitochondria/Trafficking/Motility,MYOZ1,
Mitochondria/Trafficking/Motility,MICU2,
Mitochondria/Trafficking/Motility,BBS1,
Mitochondria/Trafficking/Motility,CAPZA2,
Mitochondria/Trafficking/Motility,SLC8A2,
Mitochondria/Trafficking/Motility,RANGRF,
Mitochondria/Trafficking/Motility,CYP4F22,
Mitochondria/Trafficking/Motility,SLC27A6,
Mitochondria/Trafficking/Motility,RCC1L,
Mitochondria/Trafficking/Motility,FAM20B,
Mitochondria/Trafficking/Motility,EMC1,
Mitochondria/Trafficking/Motility,DYNLRB1,
Mitochondria/Trafficking/Motility,TKT,
Mitochondria/Trafficking/Motility,CTU1,
Mitochondria/Trafficking/Motility,NPHP4,
Mitochondria/Trafficking/Motility,FSCN2,
Mitochondria/Trafficking/Motility,TRAPPC10,
Mitochondria/Trafficking/Motility,KRT84,
Mitochondria/Trafficking/Motility,SLC25A1,
Mitochondria/Trafficking/Motility,ARHGEF17,
Mitochondria/Trafficking/Motility,SPATA6,
Mitochondria/Trafficking/Motility,RBBP7,
Mitochondria/Trafficking/Motility,MRPL39,
Mitochondria/Trafficking/Motility,MRPL17,
Mitochondria/Trafficking/Motility,SARDH,
Mitochondria/Trafficking/Motility,DOCK8,
Mitochondria/Trafficking/Motility,FGD5,
Mitochondria/Trafficking/Motility,AP5M1,
Mitochondria/Trafficking/Motility,KRT32,
Mitochondria/Trafficking/Motility,SGCG,
Mitochondria/Trafficking/Motility,AGPAT3,
Mitochondria/Trafficking/Motility,EED,
Mitochondria/Trafficking/Motility,SELENOT,
Mitochondria/Trafficking/Motility,MTHFS,
Mitochondria/Trafficking/Motility,TRIT1,
Mitochondria/Trafficking/Motility,SEC31B,
Mitochondria/Trafficking/Motility,SPRR2G,
Mitochondria/Trafficking/Motility,NOP16,
Mitochondria/Trafficking/Motility,SYNPO,
Mitochondria/Trafficking/Motility,TMEM132A,
Mitochondria/Trafficking/Motility,KRT27,
Mitochondria/Trafficking/Motility,OPHN1,
Mitochondria/Trafficking/Motility,HDDC2,
Mitochondria/Trafficking/Motility,MYOT,
Mitochondria/Trafficking/Motility,PMEPA1,
Mitochondria/Trafficking/Motility,TNNI1,
Mitochondria/Trafficking/Motility,SLA,
Mitochondria/Trafficking/Motility,OCIAD1,
Mitochondria/Trafficking/Motility,MYH6,
Mitochondria/Trafficking/Motility,NOA1,
Mitochondria/Trafficking/Motility,PRUNE1,
Mitochondria/Trafficking/Motility,PTGES2,
Mitochondria/Trafficking/Motility,KPNA3,
Mitochondria/Trafficking/Motility,MRM3,
Mitochondria/Trafficking/Motility,PUS7,
Mitochondria/Trafficking/Motility,ARHGAP8,
Mitochondria/Trafficking/Motility,INTS6,
Mitochondria/Trafficking/Motility,UPK3A,
Mitochondria/Trafficking/Motility,NEFL,
Mitochondria/Trafficking/Motility,ANP32E,
Mitochondria/Trafficking/Motility,EMC7,
Mitochondria/Trafficking/Motility,MTO1,
Mitochondria/Trafficking/Motility,IL17RD,
Mitochondria/Trafficking/Motility,MRPL35,
Mitochondria/Trafficking/Motility,ACBD3,
Mitochondria/Trafficking/Motility,TATDN3,
Mitochondria/Trafficking/Motility,RGL3,
Mitochondria/Trafficking/Motility,PPOX,
Mitochondria/Trafficking/Motility,GRAMD4,
Mitochondria/Trafficking/Motility,CASQ2,
Mitochondria/Trafficking/Motility,ICE1,
Mitochondria/Trafficking/Motility,CADPS,
Mitochondria/Trafficking/Motility,BCLAF3,
Mitochondria/Trafficking/Motility,STRAP,
Mitochondria/Trafficking/Motility,POLDIP2,
Mitochondria/Trafficking/Motility,CPED1,
Mitochondria/Trafficking/Motility,NCLN,
Mitochondria/Trafficking/Motility,ARFGAP2,
Mitochondria/Trafficking/Motility,CMC1,
Mitochondria/Trafficking/Motility,ERAL1,
Mitochondria/Trafficking/Motility,STXBP1,
Mitochondria/Trafficking/Motility,KIF9,
Mitochondria/Trafficking/Motility,C10orf53,
Mitochondria/Trafficking/Motility,GGNBP2,
Mitochondria/Trafficking/Motility,UGT1A6,
Mitochondria/Trafficking/Motility,JPH1,
Mitochondria/Trafficking/Motility,ACOX2,
Mitochondria/Trafficking/Motility,KIFC2,
Mitochondria/Trafficking/Motility,RHOT1,
Mitochondria/Trafficking/Motility,NIPSNAP3B,
Mitochondria/Trafficking/Motility,LMOD2,
Mitochondria/Trafficking/Motility,SNRPD3,
Mitochondria/Trafficking/Motility,ESRP2,
Mitochondria/Trafficking/Motility,SEL1L2,
Mitochondria/Trafficking/Motility,MYL3,
Mitochondria/Trafficking/Motility,MRPL2,
Mitochondria/Trafficking/Motility,DOCK3,
Mitochondria/Trafficking/Motility,ATP5MPL,
Mitochondria/Trafficking/Motility,DYNC2H1,
Mitochondria/Trafficking/Motility,RUBCN,
Mitochondria/Trafficking/Motility,NCALD,
Mitochondria/Trafficking/Motility,RARS1,
Mitochondria/Trafficking/Motility,RTN4IP1,
Mitochondria/Trafficking/Motility,SDR39U1,
Mitochondria/Trafficking/Motility,COX11,
Mitochondria/Trafficking/Motility,EXOG,
Mitochondria/Trafficking/Motility,PUS3,
Mitochondria/Trafficking/Motility,EPB41L3,
Mitochondria/Trafficking/Motility,SLC8B1,
Mitochondria/Trafficking/Motility,RAB4A,
Mitochondria/Trafficking/Motility,CPNE2,
Mitochondria/Trafficking/Motility,MRPL33,
Mitochondria/Trafficking/Motility,ARFGEF3,
Mitochondria/Trafficking/Motility,KIF17,
Mitochondria/Trafficking/Motility,ARL6IP5,
Mitochondria/Trafficking/Motility,SVIL,
Mitochondria/Trafficking/Motility,KIF27,
Mitochondria/Trafficking/Motility,APOL6,
Mitochondria/Trafficking/Motility,AP3M1,
Mitochondria/Trafficking/Motility,MYO1H,
Mitochondria/Trafficking/Motility,CAP1,
Mitochondria/Trafficking/Motility,CEP170B,
Mitochondria/Trafficking/Motility,TAMM41,
Mitochondria/Trafficking/Motility,BRK1,
Mitochondria/Trafficking/Motility,RPUSD4,
Mitochondria/Trafficking/Motility,ARMC10,
Mitochondria/Trafficking/Motility,MRPL48,
Mitochondria/Trafficking/Motility,CYP4F11,
Mitochondria/Trafficking/Motility,ATP8B2,
Mitochondria/Trafficking/Motility,DAAM1,
Mitochondria/Trafficking/Motility,MYBPH,
Mitochondria/Trafficking/Motility,CPNE1,
Mitochondria/Trafficking/Motility,DISP1,
Mitochondria/Trafficking/Motility,ASMTL,
Mitochondria/Trafficking/Motility,NAXD,
Mitochondria/Trafficking/Motility,RIMS3,
Mitochondria/Trafficking/Motility,DDX1,
Mitochondria/Trafficking/Motility,SUMF1,
Mitochondria/Trafficking/Motility,OXLD1,
Mitochondria/Trafficking/Motility,HKDC1,
Mitochondria/Trafficking/Motility,ESYT3,
Mitochondria/Trafficking/Motility,CSGALNACT1,
Mitochondria/Trafficking/Motility,TPD52,
Mitochondria/Trafficking/Motility,ARHGEF9,
Mitochondria/Trafficking/Motility,TOMM40,
