Plate_number_384,Well_number_384,Plasmid_ID,Gene_symbol,Entrez_ID,TSS_ID,Is_main_TSS,Is_NT_ctrl,Is_pos_ctrl,Raw_rep1,Raw_rep2,CellTiterGlo_foldNT,DeltaNT_rep1,FoldNT_rep1,PercActivation_rep1,Raw_log2_rep1,Log2FC_rep1,Raw_Glo_rep1,DeltaNT_Glo_rep1,FoldNT_Glo_rep1,Log2FC_Glo_rep1,DeltaNT_rep2,FoldNT_rep2,PercActivation_rep2,Raw_log2_rep2,Log2FC_rep2,Raw_Glo_rep2,DeltaNT_Glo_rep2,FoldNT_Glo_rep2,Log2FC_Glo_rep2,SSMD_raw,SSMD_mod_raw,Mean_raw,p_value_raw,p_value_repro_raw,SSMD_log2,SSMD_mod_log2,Mean_log2,p_value_log2,p_value_repro_log2,SSMD_log2_glo,SSMD_mod_log2_glo,Mean_log2_glo,p_value_log2_glo,p_value_repro_log2_glo
VI,1,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
VI,24,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
VI,25,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
VI,32,IKZF5,IKZF5,64376.0,,Single,False,False,1422.7154392189395,1243.374206300004,,-1402.451578554706,0.5035863119838137,-35.38242591798177,10.474431418430258,-0.9896810494257711,,,,,-1317.957994380357,0.48544043055786723,-36.120937662140655,10.280044840365498,-1.0426055137404955,,,,,0.06342295030253353,11.200837379300319,1333.0448227594718,0.05668650917140516,0.6200789920047913,0.011668565601809948,-30.534640444212243,-1.0161432815831333,0.020841650955942315,0.9370015902891591,,,,,
VI,43,ZNF45,ZNF45,7596.0,,Single,False,False,1294.9762211145785,1182.0049776677924,,-1530.190796659067,0.4583715628023564,-38.60515637834908,10.338709891458054,-1.1254025763979758,,,,,-1379.3272230125685,0.4614805441300504,-37.80286841505511,10.20702039567797,-1.1156299584280234,,,,,0.03995160199428085,12.832968882304149,1238.4905993911855,0.049508098456218265,0.7318088964303318,-0.0021546261329298167,-53.96856930704746,-1.1205162674129996,0.011794771245141281,0.9681651666808412,,,,,
VI,48,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
VI,49,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
VI,63,ZNF705A,ZNF705A,440077.0,,Single,False,False,976.0698821199206,1028.640117590191,,-1849.0971356537248,0.34549103680571286,-46.65083872973666,9.930840631598436,-1.533271836257594,,,,,-1532.69208309017,0.4016035551018941,-42.006099909569066,10.00652261054635,-1.316127743559644,,,,,-0.018591148155709,12.142692242571892,1002.3549998550559,0.05231017656224169,0.9689375724765897,-0.04787502572768786,-12.901222254705047,-1.424699789908619,0.04924722437278149,0.6647721611249039,,,,,
VI,73,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
VI,83,DRAP1,DRAP1,10589.0,,Single,False,False,1420.8729671288706,1210.630063202339,,-1404.2940506447749,0.5029341480308588,-35.428909613554346,10.472561861138939,-0.9915506067170909,,,,,-1350.702137478022,0.4726564023521674,-37.01834801715508,10.241542367267906,-1.081107986838088,,,,,0.07435114072857964,10.040165383914504,1315.7515151656048,0.06319886859695545,0.5707256112800416,0.019745238399651532,-21.09984476755482,-1.0363292967775894,0.030149215309621568,0.8819175384015734,,,,,
VI,96,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
VI,97,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
VI,121,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
VI,130,ZNF621,ZNF621,285268.0,,Single,False,False,1308.8282861850134,1196.4412784361584,,-1516.338731588632,0.4632746587904127,-38.25568287519198,10.354060117682954,-1.110052350173076,,,,,-1364.8909222442026,0.46711679106612974,-37.407216412222326,10.224533875531074,-1.0981164785749193,,,,,0.0397449905473104,13.002523813551532,1252.634782310586,0.04886505453511573,0.7328225599984823,-0.002631571288651129,-52.46747673630445,-1.1040844143739976,0.012132138654797835,0.964893439738858,,,,,
VI,131,TET2,TET2,54790.0,,Single,False,False,1273.6697431154266,1134.8708333954835,,-1551.4972746582189,0.45082989257008027,-39.14269713262953,10.314775526356593,-1.1493369414994365,,,,,-1426.4613672848775,0.44307834536028956,-39.094661851779065,10.148312389557937,-1.174337964548057,,,,,0.04908540110902927,11.51394756184596,1204.270288255455,0.05515278518932097,0.6874876918068623,0.005512121498677632,-48.94546955115364,-1.1618374530237467,0.013004905678739761,0.9792072688633319,,,,,
VI,144,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
